MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
"367314490",2020-01-01T02:56:53,"39.32795","-76.19573","6.1","225","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:05:35,"39.3154","-76.20621","6.2","209.6","197",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:04:32,"39.31698","-76.20508","6.2","207.3","197",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:03:13,"39.31901","-76.20367","6.2","210.7","198",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T03:02:12,"39.3205","-76.20253","6.2","208.9","199",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T00:18:53,"39.50772","-75.90615","7.4","256.9","245",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:49:49,"39.38823","-76.07171","6.5","243.5","236",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:47:03,"39.39035","-76.06589","6.5","244.7","233",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:48:12,"39.38946","-76.06828","6.5","245.8","234",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:57:53,"39.38273","-76.08876","6.4","242.8","232",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:52:12,"39.38672","-76.07675","6.5","249.3","237",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:54:23,"39.38532","-76.08147","6.5","249.2","237",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:01:12,"39.45224","-75.98689","6.8","218.1","207",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:36:32,"39.4022","-76.04587","6.8","222.7","212",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:33:32,"39.40631","-76.04075","6.9","224.4","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:31:02,"39.40982","-76.03648","7","223.6","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:29:22,"39.41219","-76.03365","7","223.1","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:44:03,"39.39274","-76.05954","6.6","237.8","228",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:41:15,"39.39579","-76.05413","6.9","222.2","214",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:42:33,"39.39416","-76.0565","6.6","235.7","228",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:35:12,"39.40405","-76.04358","6.8","224.5","211",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:14:42,"39.37079","-76.1214","6.3","234.5","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:16:22,"39.36911","-76.12446","6.2","234.6","223",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:12:23,"39.37306","-76.11717","6.2","239","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:11:16,"39.37385","-76.11494","6.1","253.1","234",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:27:13,"39.35867","-76.14427","6.1","235.8","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:24:53,"39.36089","-76.14003","6.1","236.4","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:23:32,"39.36217","-76.13757","6.2","235.5","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:13:32,"39.37195","-76.11925","6.2","234.7","224",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:02:23,"39.37938","-76.09776","6","243.1","234",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:01:12,"39.38026","-76.09544","6.1","247.5","233",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:59:23,"39.38155","-76.09181","6.3","242.9","232",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:56:23,"39.38388","-76.08572","6.4","243","233",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:09:52,"39.37461","-76.11207","5.9","248.9","236",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:06:52,"39.37638","-76.10626","5.8","246.8","237",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T01:08:22,"39.44209","-75.99825","6.8","222.9","213",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
"367314490",2020-01-01T02:03:33,"39.37857","-76.09996","5.8","245.6","235",SCHUYLKILL,,WDD9655,"31","12","21","8",,,A
